x	u	v
0	1	0
0.0519410888646556	0.998651061643777	-0.0519410888646556
0.102109813249092	0.994788490591203	-0.101976773445667
0.151201647397044	0.988583539542413	-0.150689882608974
0.199632190202516	0.980126176747913	-0.198390797160977
0.247653952537305	0.9694689716175	-0.245229429996109
0.29542197681083	0.956648786789581	-0.291259267052383
0.343032092034092	0.941697670587171	-0.33647532396941
0.390543775376522	0.924648286189915	-0.380837192520904
0.437994038321104	0.905536525765123	-0.424283264134733
0.485405950049862	0.884402672131061	-0.466739611041016
0.532793904245327	0.861291821452256	-0.508125584875042
0.580166887382606	0.836253941337332	-0.54835738020926
0.627530512273778	0.809343758421384	-0.587350329590882
0.674888285470222	0.780620573355251	-0.625020405214589
0.722242397999225	0.750148050293605	-0.661285223067569
0.769594219032108	0.717994001672235	-0.696064734097706
0.816944604215259	0.684230175951863	-0.729281717543253
0.864294088294531	0.648932049867776	-0.760862148171672
0.911643005473345	0.612178624172507	-0.7907354820379
0.958991564623994	0.574052221068782	-0.818834888410645
1.00633989628986	0.534638281541645	-0.845097444928764
1.05368808205988	0.494025161123668	-0.869464306455536
1.10103617292695	0.452303923030247	-0.891880854001795
1.14838420076155	0.409568127979871	-0.912296827552044
1.19573218548271	0.365913620330236	-0.930666445063546
1.24308013953985	0.321438310409186	-0.946948508949642
1.29042807071386	0.276241953107015	-0.961106500775901
1.33777598386781	0.230425922934891	-0.973108664548188
1.38512388204112	0.184092985854221	-0.982928078766448
1.43247176713344	0.137347068253406	-0.99054271730182
1.47981964033206	0.0902930234992142	-0.995935499093402
1.52716750237903	0.0430363965256584	-0.999094326633431
1.57451535373816	-0.00431681305185082	-1.00001211320289
1.62186319469932	-0.0516603887923172	-0.998686798825412
1.66921102544368	-0.098888135738856	-0.995121354920996
1.7165588460845	-0.14589411865914	-0.9893237776594
1.76390665669254	-0.192572899689626	-0.981307070034209
1.81125445731206	-0.238819774855337	-0.971089212701368
1.85860224797071	-0.284531008937765	-0.958693123649698
1.90595002868578	-0.329604068166096	-0.94414660679509
1.95329779946809	-0.373937850211092	-0.927482289614373
2.00064556032439	-0.417432910966566	-0.908737549959176
2.04799331125892	-0.459991687610305	-0.887954432214171
2.09534105227433	-0.501518717444427	-0.865179552987892
2.14268878337227	-0.541920852024523	-0.840463996547763
2.1900365045538	-0.581107466097417	-0.81386320023391
2.23738421581957	-0.618990660878975	-0.785436830108822
2.28473191716999	-0.655485461216063	-0.755248647121808
2.33207960860533	-0.690510006190432	-0.723366364088448
2.37942729012577	-0.723985732737046	-0.689861493805877
2.4267749617314	-0.755837551864985	-0.654809188644576
2.47412262342231	-0.785994017085679	-0.618288071976497
2.52147027519856	-0.814387484670687	-0.580380061817642
2.56881791706016	-0.840954265379565	-0.541170187080683
2.61616554900717	-0.865634767317507	-0.500746396849787
2.66351317103959	-0.888373629602321	-0.459199363105457
2.71086078315745	-0.909119846540933	-0.416622277341905
2.75820838536076	-0.927826882036906	-0.37311064153314
2.80555597764954	-0.944452773972339	-0.328762053916675
2.85290356002381	-0.958960228330048	-0.283675990075337
2.90025113248358	-0.971316702844904	-0.237953579808241
2.94759869502886	-0.981494479996702	-0.191697380291417
2.99494624765967	-0.989470729180867	-0.145011146036903
3.04229379037602	-0.995227557917526	-0.0979995961663053
3.08964132317792	-0.998752051984124	-0.050768179520842
3.1369888460654	-1.00003630438155	-0.00342283813473731
3.18433635903845	-0.999077433068825	0.0439302303974843
3.2316838620971	-0.995877587426605	0.0911848111267898
3.27903135524136	-0.990443943434952	0.138234909994206
3.32637883847124	-0.982788687576274	0.184974991579771
3.37372631178676	-0.972928989499505	0.231300215822593
3.42107377518792	-0.960886963506863	0.277106673181042
3.46842122867475	-0.946689618949599	0.322291617705601
3.51576867224726	-0.930368799643986	0.366753697501595
3.56311610590546	-0.911961112443477	0.410393182064855
3.61046352964936	-0.891507845127246	0.453112185980404
3.65781094347897	-0.8690548737893	0.494814888482411
3.70515834739432	-0.844652559935913	0.535407748382916
3.75250574139541	-0.818355637522191	0.574799713887268
3.79985312548226	-0.790223090181181	0.612902426825635
3.84720049965488	-0.760318018920884	0.649630420842502
3.89454786391328	-0.728707500585972	0.684901313099626
3.94189521825748	-0.695462437401671	0.718635989062447
3.98924256268749	-0.660657397937305	0.750758779955491
4.03658989720333	-0.624370449846236	0.781197632488731
4.083937221805	-0.58668298475737	0.809884270474208
4.13128453649253	-0.547679535711012	0.83675434797043
4.17863184126592	-0.507447587548582	0.861747593611025
4.2259791361252	-0.466077380681486	0.884807945793945
4.27332642107036	-0.423661708679307	0.905883678427985
4.32067369610143	-0.380295710131341	0.924927516954591
4.36802096121842	-0.336076655248331	0.941896744384704
4.41536821642134	-0.291103727683072	0.956753297112835
4.46271546171021	-0.245477802059265	0.969463850293445
4.51006269708503	-0.199301217707635	0.979999892588155
4.55740992254584	-0.152677549116831	0.988337790116137
4.60475713809262	-0.105711373613989	0.994458839464244
4.65210434372541	-0.0585080367960642	0.998349309638004
4.69945153944421	-0.0111734162380651	1.00000047285938
4.74679872524904	0.0361863159917914	0.999408624142245
4.79414590113991	0.0834649314773301	0.99657508960163
4.84149306711684	0.130556383725907	0.991506223478206
4.88884022317983	0.17735504603169	0.984213393884584
4.9361873693289	0.22375594839721	0.974712957305492
4.98353450556407	0.269655012981753	0.963026221909004
5.03088163188534	0.314949287548498	0.949179399751124
5.07822874829274	0.359537176386768	0.933203547980964
5.12557585478627	0.403318668191438	0.915134499178377
5.17292295136595	0.446195560388379	0.895012780980331
5.2202700380318	0.488071679402763	0.872883525176303
