x	 theta	 theta'
0	0.785398163397448	0
0.0208325723759529	0.784630959484004	-0.0734624650046182
0.0407799688605883	0.782466376204058	-0.143340156764955
0.0601474169347876	0.779035824933408	-0.210660351475393
0.0791169840974813	0.774417103756868	-0.276010169771227
0.0977993193804508	0.768662440517989	-0.339721868927944
0.116262230773589	0.761812235236931	-0.401975604301907
0.134547130409258	0.753902023324441	-0.462858795485946
0.152678799290454	0.744966065154276	-0.522401530828413
0.170671344720674	0.73503918940679	-0.580598287244898
0.188531935871189	0.724157694542433	-0.637421644953885
0.206263218877515	0.712359715431743	-0.692831223652483
0.223864932735502	0.699685267078792	-0.746779699940385
0.241335029785534	0.686176081982894	-0.799216984372861
0.25867047825536	0.671875311850239	-0.850093185077247
0.275867850760793	0.656827142593018	-0.899360724959108
0.292923760168708	0.641076360713019	-0.946975832280575
0.30983518013743	0.624667902649277	-0.992899543252894
0.326599674371609	0.607646413383471	-1.03709831215812
0.343215551549779	0.590055835346367	-1.0795443023375
0.359681959200001	0.571939043232833	-1.12021541990286
0.375998927836336	0.553337534929433	-1.15909514528998
0.392167375462025	0.534291183734355	-1.19617221255885
0.408189081579566	0.514838052713778	-1.23144018114064
0.424066638886055	0.495014268589336	-1.26489693903656
0.439803389799326	0.474853950058358	-1.29654417033912
0.455403353867602	0.454389183872907	-1.32638681366494
0.470871151010271	0.433650041229136	-1.35443253200735
0.486211924474881	0.412664626887461	-1.38069120893382
0.501431266421798	0.39145915378708	-1.4051744811725
0.516535148194453	0.370058036575977	-1.42789531355798
0.531529856615247	0.348483998313528	-1.44886761905623
0.546421937067114	0.326758185509847	-1.46810592411516
0.561218143670613	0.304900287565742	-1.48562507780402
0.575925396532252	0.282928657517867	-1.50144000200349
0.590550745804127	0.260860431744874	-1.51556547917621
0.605101342140102	0.23871164693833	-1.52801597387984
0.619584413042279	0.216497353184683	-1.5388054840851
0.634007244548135	0.194231722447226	-1.54794741845287
0.648377167700305	0.171928152089747	-1.55545449594129
0.662701549256742	0.149599363358578	-1.5613386644089
0.676987786130366	0.127257494949629	-1.56561103521453
0.691243303087741	0.104914191943941	-1.56828183116473
0.705475553280805	0.0825806905102058	-1.56936034550634
0.719692021230682	0.0602678988553758	-1.56885490999549
0.733900227925473	0.0379864749630045	-1.56677287038859
0.748107737732932	0.0157469017001652	-1.56312056799384
0.762322166862694	-0.00644044009671498	-1.55790332619512
0.776551193140386	-0.0285651999246001	-1.55112544111509
0.790802566876738	-0.0506169866542571	-1.542790175827
0.805084122627894	-0.0725852976400508	-1.5328997577598
0.819403791647879	-0.0944594472124454	-1.52145537917517
0.833769614829416	-0.116228493845633	-1.50845720083665
0.848189755913828	-0.137881165268339	-1.49390435924887
0.862672514722843	-0.159405780757606	-1.47779497812845
0.877226340122477	-0.180790169823395	-1.46012618509155
0.891859842368937	-0.202021586457008	-1.44089413491865
0.906581804404818	-0.2230866180805	-1.4200940412034
0.92140119156617	-0.243971088300295	-1.39772021872858
0.936327159021211	-0.264659952541088	-1.37376613956265
0.951369056082483	-0.285137185622761	-1.34822450666293
0.966536426307252	-0.305385660354115	-1.32108734973863
0.981839002015761	-0.325387016267712	-1.29234614930516
0.997286691502077	-0.345121517731694	-1.26199199629008
1.0128895567753	-0.364567900877203	-1.23001579626987
1.02865777913804	-0.383703209115957	-1.19640852945997
1.04460160927532	-0.402502617548783	-1.16116157996587
1.06073129778781	-0.420939247359183	-1.12426715051785
1.07705700127051	-0.438983972446869	-1.08571878188135
1.09358865814638	-0.456605222212317	-1.04551199918569
1.1103358275912	-0.473768786709791	-1.00364511020562
1.12730748416871	-0.490437633518705	-0.96012018257699
1.14451176046928	-0.506571749816886	-0.914944227076641
1.16195563047295	-0.522128028405254	-0.868130611008426
1.17964452806791	-0.537060222834861	-0.819700717364359
1.19758189885853	-0.551319004063806	-0.769685849092493
1.21576868994395	-0.564852158498256	-0.718129350371088
1.23420279259013	-0.577604973406022	-0.665088875290743
1.25287846717582	-0.589520858128422	-0.610638677253906
1.27178579809728	-0.600542244808616	-0.554871721784512
1.29091024642886	-0.610611796357375	-0.497901349852741
1.31023238558478	-0.619673918364227	-0.439862156008796
1.3297279128772	-0.627676524428613	-0.380909723013919
1.34936801905216	-0.634572945045888	-0.321218904643817
1.36912016155328	-0.640323810421899	-0.260980496017791
1.38894922482993	-0.644898696191336	-0.200396375735163
1.40881897280508	-0.648277318636309	-0.139673504353116
1.42869362627593	-0.650450115495939	-0.0790174359512461
1.4485393578668	-0.651418145102712	-0.018626145061371
1.46832550795839	-0.651192355263584	0.0413150775072643
1.48802538674984	-0.649792377187737	0.10063714530236
1.50761661943981	-0.647245057174202	0.159188946679184
1.52708108172037	-0.643582937969508	0.216837536387252
1.54640453439488	-0.638842854033508	0.273467148484265
1.56557608781749	-0.633064735587746	0.328977511353254
1.58458761441673	-0.626290650387085	0.383281899640964
1.60343319543078	-0.618564065100117	0.436305240230065
1.62210865120124	-0.609929283899323	0.487982455392228
1.64061117309427	-0.600431016269911	0.538257113029869
1.65893905358524	-0.590114032028767	0.587080376583425
1.67709149918531	-0.579022872493913	0.634410205185899
1.69506850650368	-0.567201598101446	0.68021073972537
1.71287078215483	-0.55469356211942	0.724451812720291
1.7304996901538	-0.541541206642606	0.76710853093364
1.74795721429104	-0.527785880899106	0.808160893587679
1.76524592677233	-0.513467683620157	0.847593422396419
1.78236895765953	-0.498625331483533	0.885394790694061
1.79932996217723	-0.483296055038512	0.921557447153261
1.8161330847649	-0.467515522521861	0.956077235071284
