Samples	Estimated Integral	Error Estimate	Actual error
1	1.07496959911865	0	0.318234330567028
10	1.24030339995364	0.33724328863703	0.152900529732036
100	1.58451463134461	0.354782789639371	0.191310701658931
1000	1.94673872558101	0.550123323832621	0.553534795895335
10000	1.4101258235153	0.0361534949871762	0.0169218938296212
100000	1.36818306905259	0.0162833491849087	0.0250208606330886
1000000	1.42728661921181	0.0458453255662515	0.0340826895261315
10000000	1.39921004774567	0.00734014062938281	0.00600611805999507
100000000	1.3951940679347	0.00270523366137893	0.00199013824901861
