Samples	Estimated Pi	Error Estimate	Actual error
1	4	0	0.858407346410207
10	3.8	0.4	0.658407346410207
100	3.12	0.16	0.021592653589793
1000	3.144	0.00800000000000001	0.00240734641020701
10000	3.1428	0.004	0.00120734641020714
100000	3.14118	3.9999999999818E-05	0.000412653589792811
1000000	3.141504	9.6000000000096E-05	8.86535897932639E-05
10000000	3.1415898	1.07999999996444E-05	2.85358979290606E-06
100000000	3.14159368	2.24000000015323E-06	1.02641020660599E-06
