Samples	Estimated Pi	Error Estimate	Actual error
1	0	0	3.14159265358979
10	2.8	0.579655069847578	0.341592653589793
100	3	0.173205080756888	0.141592653589793
1000	3.204	0.0505013267152458	0.0624073464102071
10000	3.1432	0.0164106482504501	0.0016073464102071
100000	3.1464	0.00518243865376137	0.00480734641020675
1000000	3.139244	0.00164381358689603	0.00234865358979297
10000000	3.1420892	0.000519194786110508	0.000496546410206911
100000000	3.14141364	0.000164230779771088	0.000179013589792998
