# x    f(x)    r1(x)   r2(x)   err1    err2
2.9217 3.099882 2.965823 2.773202 1.341E-001 3.267E-001
2.9531 3.114900 2.994046 2.822908 1.209E-001 2.920E-001
2.9845 3.125934 3.020884 2.873934 1.051E-001 2.520E-001
3.0159 3.133486 3.046525 2.926083 8.696E-002 2.074E-001
3.0473 3.138143 3.071179 2.979146 6.696E-002 1.590E-001
3.0788 3.140564 3.095078 3.032905 4.549E-002 1.077E-001
3.1102 3.141464 3.118464 3.087131 2.300E-002 5.433E-002
3.1416 3.141593 3.141593 3.141593 0.000E+000 0.000E+000
3.1730 3.141722 3.164721 3.196054 2.300E-002 5.433E-002
3.2044 3.142621 3.188107 3.250280 4.549E-002 1.077E-001
3.2358 3.145042 3.212006 3.304039 6.696E-002 1.590E-001
3.2673 3.149699 3.236661 3.357102 8.696E-002 2.074E-001
3.2987 3.157251 3.262301 3.409251 1.051E-001 2.520E-001
3.3301 3.168285 3.289139 3.460277 1.209E-001 2.920E-001
3.3615 3.183303 3.317362 3.509984 1.341E-001 3.267E-001
3.3929 3.202709 3.347132 3.558190 1.444E-001 3.555E-001
3.4243 3.226798 3.378577 3.604731 1.518E-001 3.779E-001
3.4558 3.255752 3.411794 3.649460 1.560E-001 3.937E-001
3.4872 3.289630 3.446840 3.692252 1.572E-001 4.026E-001
3.5186 3.328372 3.483733 3.732999 1.554E-001 4.046E-001
3.5500 3.371798 3.522450 3.771618 1.507E-001 3.998E-001
3.5814 3.419612 3.562926 3.808046 1.433E-001 3.884E-001
3.6128 3.471410 3.605053 3.842243 1.336E-001 3.708E-001
3.6442 3.526690 3.648684 3.874193 1.220E-001 3.475E-001
3.6757 3.584865 3.693629 3.903900 1.088E-001 3.190E-001
3.7071 3.645276 3.739667 3.931391 9.439E-002 2.861E-001
3.7385 3.707208 3.786542 3.956717 7.933E-002 2.495E-001
3.7699 3.769911 3.833971 3.979945 6.406E-002 2.100E-001
3.8013 3.832614 3.881652 4.001166 4.904E-002 1.686E-001
3.8327 3.894546 3.929264 4.020489 3.472E-002 1.259E-001
3.8642 3.954957 3.976480 4.038039 2.152E-002 8.308E-002
3.8956 4.013132 4.022971 4.053961 9.839E-003 4.083E-002
3.9270 4.068412 4.068412 4.068412 0.000E+000 0.000E+000
3.9584 4.120210 4.112492 4.081565 7.718E-003 3.864E-002
3.9898 4.168024 4.154915 4.093605 1.311E-002 7.442E-002
4.0212 4.211450 4.195412 4.104726 1.604E-002 1.067E-001
4.0527 4.250192 4.233740 4.115133 1.645E-002 1.351E-001
4.0841 4.284070 4.269691 4.125036 1.438E-002 1.590E-001
4.1155 4.313024 4.303094 4.134651 9.930E-003 1.784E-001
4.1469 4.337114 4.333814 4.144197 3.299E-003 1.929E-001
4.1783 4.356520 4.361760 4.153893 5.241E-003 2.026E-001
4.2097 4.371538 4.386882 4.163959 1.534E-002 2.076E-001
4.2412 4.382571 4.409169 4.174606 2.660E-002 2.080E-001
4.2726 4.390123 4.428657 4.186045 3.853E-002 2.041E-001
4.3040 4.394780 4.445417 4.198473 5.064E-002 1.963E-001
4.3354 4.397201 4.459563 4.212081 6.236E-002 1.851E-001
4.3668 4.398101 4.471246 4.227043 7.315E-002 1.711E-001
4.3982 4.398230 4.480654 4.243519 8.242E-002 1.547E-001
4.4296 4.398359 4.488006 4.261653 8.965E-002 1.367E-001
4.4611 4.399258 4.493557 4.281566 9.430E-002 1.177E-001
4.4925 4.401679 4.497589 4.303363 9.591E-002 9.832E-002
4.5239 4.406336 4.500415 4.327122 9.408E-002 7.921E-002
