# rmax   epsilon0
5 -0.48389015830792
6 -0.488413497045487
7 -0.489040841986677
8 -0.4891875668574
9 -0.489224088542683
10 -0.48922833755728
11 -0.489229226333546
12 -0.489229427590101
13 -0.489229449061073
14 -0.489229453312724
15 -0.489229454229703
16 -0.489229454322974
17 -0.489229454340864
18 -0.489229454344612
19 -0.489229454344983
20 -0.489229454345052
