Training done in 50000 iterations, SSE=1.399986E-004
#  x    g(x)    net(x)    net'(x)    net''(x)    A(x)
 -0.090    0.21953    0.11879    4.95326   -1.35394     -17.82244
 -0.080    0.26888    0.16823    4.93198   -2.90160     -17.82100
 -0.070    0.31794    0.21738    4.89524   -4.44434     -17.81907
 -0.060    0.36654    0.26609    4.84313   -5.97615     -17.81666
 -0.050    0.41454    0.31419    4.77577   -7.49107     -17.81375
 -0.040    0.46178    0.36155    4.69338   -8.98319     -17.81037
 -0.030    0.50812    0.40801    4.59621  -10.44666     -17.80653
 -0.020    0.55341    0.45343    4.48456  -11.87575     -17.80222
 -0.010    0.59752    0.49766    4.35882  -13.26486     -17.79746
  0.000    0.64030    0.54056    4.21942  -14.60855     -17.79227
  0.010    0.68162    0.58200    4.06682  -15.90155     -17.78665
  0.020    0.72136    0.62185    3.90157  -17.13883     -17.78063
  0.030    0.75939    0.65999    3.72425  -18.31557     -17.77422
  0.040    0.79559    0.69630    3.53548  -19.42719     -17.76744
  0.050    0.82986    0.73066    3.33593  -20.46942     -17.76030
  0.060    0.86209    0.76298    3.12633  -21.43827     -17.75283
  0.070    0.89219    0.79316    2.90743  -22.33007     -17.74505
  0.080    0.92007    0.82110    2.68000  -23.14146     -17.73698
  0.090    0.94565    0.84673    2.44487  -23.86947     -17.72864
  0.100    0.96885    0.86998    2.20290  -24.51146     -17.72005
  0.110    0.98962    0.89077    1.95494  -25.06516     -17.71125
  0.120    1.00789    0.90906    1.70189  -25.52872     -17.70224
  0.130    1.02363    0.92480    1.44467  -25.90064     -17.69307
  0.140    1.03679    0.93794    1.18419  -26.17983     -17.68376
  0.150    1.04736    0.94847    0.92139  -26.36563     -17.67432
  0.160    1.05530    0.95637    0.65719  -26.45774     -17.66480
  0.170    1.06060    0.96161    0.39254  -26.45630     -17.65520
  0.180    1.06328    0.96422    0.12838  -26.36183     -17.64557
  0.190    1.06334    0.96419   -0.13439  -26.17526     -17.63593
  0.200    1.06079    0.96154   -0.39483  -25.89791     -17.62630
  0.210    1.05566    0.95630   -0.65205  -25.53148     -17.61671
  0.220    1.04799    0.94851   -0.90517  -25.07803     -17.60718
  0.230    1.03782    0.93821   -1.15333  -24.54002     -17.59774
